,Q1,Q2,Q3,Q4,Q5,Q6,Q7
Student_1,1,1,0,0,1,0,0
Student_2,0,1,0,1,0,0,1
Student_3,1,0,1,1,0,1,0
Student_4,0,1,0,0,0,1,1
Student_5,0,1,0,1,1,1,0
Student_6,0,1,1,0,0,1,0
Student_7,1,0,1,1,0,0,0
Student_8,0,0,1,0,1,0,0
Student_9,1,1,0,1,0,0,0
Student_10,1,1,0,0,0,0,1
Student_11,0,0,1,1,0,1,0
Student_12,0,1,0,1,0,0,1
Student_13,1,1,0,0,0,0,1
Student_14,1,1,0,1,1,1,1
Student_15,0,0,1,0,1,0,0
Student_16,1,1,1,1,0,1,0
Student_17,1,0,1,0,0,1,1
Student_18,0,1,1,0,1,1,1
Student_19,1,1,1,0,0,1,1
Student_20,0,1,1,0,1,1,0
Student_21,1,1,1,1,1,0,1
Student_22,0,0,1,1,0,0,1
Student_23,0,0,0,0,0,0,1
Student_24,0,1,1,0,1,1,1
Student_25,0,0,0,0,1,0,0
Student_26,1,0,0,0,1,0,1
Student_27,1,1,1,1,0,1,1
Student_28,1,0,1,1,0,1,1
Student_29,0,1,0,1,1,1,0
Student_30,0,0,0,1,0,0,0
